time4sub,time11sub,solution?,n,blocked/n^2,time4,time11,Satisfiable?,correct winner
0.0399472089,0.1316823397,1,50,0.058,0.0549328327,0.8204212189,SAT,queen4
0.0398032624,0.1313400453,1,50,0.0584,0.0519242287,0.6622331142,SAT,queen4
0.0396688855,0.1309497691,1,50,0.0588,0.0725038052,0.6629214287,SAT,queen4
0.0395219163,0.1304991901,1,50,0.0592,0.0695412159,0.6393868923,SAT,queen4
0.0393870655,0.1300583547,1,50,0.0596,0.0637459755,0.7186996937,SAT,queen4
0.0392579107,0.1296131358,1,50,0.06,0.097684145,0.7848966122,SAT,queen4
0.03912281,0.1291767971,1,50,0.0604,0.0553591251,0.8758349419,SAT,queen4
0.0389862487,0.1287576376,1,50,0.0608,0.064404726,0.7146008015,SAT,queen4
0.0388541466,0.1283423282,1,50,0.0612,0.072350502,0.7451198101,SAT,queen4
0.0387174614,0.1279203011,1,50,0.0616,0.0732815266,0.7056620121,SAT,queen4
0.0385959761,0.1275316864,1,50,0.062,0.048943758,0.8037614822,SAT,queen4
0.0384751259,0.1271709598,1,50,0.0624,0.0629816055,0.7104337215,SAT,queen4
0.0383684861,0.1268519241,1,50,0.0628,0.068669796,0.6563923359,SAT,queen4
0.0382423402,0.1264691523,1,50,0.0632,0.0598387718,0.7333230972,SAT,queen4
0.0381114214,0.1260729821,1,50,0.0636,0.0617997646,0.7007107735,SAT,queen4
0.0379881585,0.1257050072,1,50,0.064,0.0606374741,0.7759094238,SAT,queen4
0.0378699023,0.1253242759,1,50,0.0644,0.052216053,0.697437048,SAT,queen4
0.0377534132,0.1249562337,1,50,0.0648,0.0678739548,0.6823661327,SAT,queen4
0.037637858,0.124612086,1,50,0.0652,0.060860157,0.6711280346,SAT,queen4
0.0375259891,0.1242956307,1,50,0.0656,0.0785515308,0.6739311218,SAT,queen4
0.0374205121,0.123972112,1,50,0.066,0.05250597,0.6742479801,SAT,queen4
0.0373221485,0.1236449118,1,50,0.0664,0.0521745682,0.6393918991,SAT,queen4
0.0372091085,0.1233045043,1,50,0.0668,0.0607762337,0.6902313232,SAT,queen4
0.0370998444,0.1229491594,1,50,0.0672,0.0587055683,0.7063302994,SAT,queen4
0.0369918552,0.1226059657,1,50,0.0676,0.0563857555,0.701084137,SAT,queen4
0.0368820035,0.1222817251,1,50,0.068,0.0641126633,0.6959075928,SAT,queen4
0.0367763203,0.1219607811,1,50,0.0684,0.0573718548,0.6467986107,SAT,queen4
0.0366840107,0.1216905848,1,50,0.0688,0.0512082577,0.6668493748,SAT,queen4
0.0365881127,0.1213800359,1,50,0.0692,0.0650675297,0.7203259468,SAT,queen4
0.036490723,0.12103891,1,50,0.0696,0.0613384247,0.6647217274,SAT,queen4
0.0363930563,0.1207402896,1,50,0.07,0.0654551983,0.7080490589,SAT,queen4
0.0363075208,0.1204501733,1,50,0.0704,0.0755794048,0.6923396587,SAT,queen4
0.0362292795,0.1201730708,1,50,0.0708,0.0799305439,0.6777541637,SAT,queen4
0.0361320118,0.1198503481,1,50,0.0712,0.0648925304,0.7622218132,SAT,queen4
0.0360367133,0.1195575687,1,50,0.0716,0.0715913773,0.6864387989,SAT,queen4
0.0359427542,0.1192490261,1,50,0.072,0.0767230988,0.7191548347,SAT,queen4
0.0358544418,0.1189683232,1,50,0.0724,0.0591630936,0.6965472698,SAT,queen4
